Nama Pennguna,Teks Ulasan,Rating,Waktu Ulasan,casefolding,cleaning,stopword_removal,tokenizing,stemming
RISKA WATI,"saya dah bayar terus aja d tagih..kapan dana instan saya muncul di akun saya,,tolong dong tanggal pembayaran nya dari tgl 1 sama 17.. karena saya ada uang nya tanggal tersebut ...dari THN 2013 saya pake dana ..🙏🙂🙏",5,7/7/2025 16:01,"saya dah bayar terus aja d tagih..kapan dana instan saya muncul di akun saya,,tolong dong tanggal pembayaran nya dari tgl 1 sama 17.. karena saya ada uang nya tanggal tersebut ...dari thn 2013 saya pake dana ..🙏🙂🙏",saya dah bayar terus aja d tagihkapan dana instan saya muncul di akun sayatolong dong tanggal pembayaran nya dari tgl sama karena saya ada uang nya tanggal tersebut dari thn saya pake dana,dah bayar terus aja d tagihkapan dana instan muncul akun sayatolong dong tanggal pembayaran nya tgl sama uang nya tanggal tersebut thn pake dana,"['dah', 'bayar', 'terus', 'aja', 'd', 'tagihkapan', 'dana', 'instan', 'muncul', 'akun', 'sayatolong', 'dong', 'tanggal', 'pembayaran', 'nya', 'tgl', 'sama', 'uang', 'nya', 'tanggal', 'tersebut', 'thn', 'pake', 'dana']",dah bayar terus aja d tagihkapan dana instan muncul akun sayatolong dong tanggal bayar nya tgl sama uang nya tanggal sebut thn pake dana
Toni Riadi,pelayanan yang ramah dan tepat waktu,5,7/7/2025 16:00,pelayanan yang ramah dan tepat waktu,pelayanan yang ramah dan tepat waktu,pelayanan ramah tepat waktu,"['pelayanan', 'ramah', 'tepat', 'waktu']",layan ramah tepat waktu
Alga Verdyanto,tidak hanya sy yang kehilangan saldo di apk ini. ada beberapa tetangga sy juga hilang saldo. pas di cek mutasi ada top up game padahal sy tidak pernah top up hingga saldo di kuras habis. kejadian ini bukan hanya sy yang mengalami,2,7/7/2025 15:59,tidak hanya sy yang kehilangan saldo di apk ini. ada beberapa tetangga sy juga hilang saldo. pas di cek mutasi ada top up game padahal sy tidak pernah top up hingga saldo di kuras habis. kejadian ini bukan hanya sy yang mengalami,tidak hanya sy yang kehilangan saldo di apk ini ada beberapa tetangga sy juga hilang saldo pas di cek mutasi ada top up game padahal sy tidak pernah top up hingga saldo di kuras habis kejadian ini bukan hanya sy yang mengalami,sy kehilangan saldo apk beberapa tetangga sy hilang saldo pas cek mutasi top up game padahal sy pernah top up hingga saldo kuras habis kejadian bukan sy mengalami,"['sy', 'kehilangan', 'saldo', 'apk', 'beberapa', 'tetangga', 'sy', 'hilang', 'saldo', 'pas', 'cek', 'mutasi', 'top', 'up', 'game', 'padahal', 'sy', 'pernah', 'top', 'up', 'hingga', 'saldo', 'kuras', 'habis', 'kejadian', 'bukan', 'sy', 'mengalami']",sy hilang saldo apk beberapa tetangga sy hilang saldo pas cek mutasi top up game padahal sy pernah top up hingga saldo kuras habis jadi bukan sy alami
Erson Putra,bagus,5,7/7/2025 15:59,bagus,bagus,bagus,['bagus'],bagus
david mangatur,"Dana Cicil sedang tidak tersedia / berlaku, sebelumnya dana cicil lancar-lancar aja, padahal sekarang limit ada, tagihan sudah dibayar jauh-jauh hari sebelum jatuh tempo, saya sangat kecewa dengan aplikasi dana.... kalau dichat banyak alasan banyak jawabannya, bertele-tele berbelit-belit dan itu menggunakan mesin boot, sungguh sangat kecewa, aplikasi seperti dana, CS nya pakai mesin boot, sangat-sangat tidak bermodal untuk membayar CS manusia..... aplikasi dana semakin hari semakin mundur, rusak",1,7/7/2025 15:55,"dana cicil sedang tidak tersedia / berlaku, sebelumnya dana cicil lancar-lancar aja, padahal sekarang limit ada, tagihan sudah dibayar jauh-jauh hari sebelum jatuh tempo, saya sangat kecewa dengan aplikasi dana.... kalau dichat banyak alasan banyak jawabannya, bertele-tele berbelit-belit dan itu menggunakan mesin boot, sungguh sangat kecewa, aplikasi seperti dana, cs nya pakai mesin boot, sangat-sangat tidak bermodal untuk membayar cs manusia..... aplikasi dana semakin hari semakin mundur, rusak",dana cicil sedang tidak tersedia berlaku sebelumnya dana cicil lancarlancar aja padahal sekarang limit ada tagihan sudah dibayar jauhjauh hari sebelum jatuh tempo saya sangat kecewa dengan aplikasi dana kalau dichat banyak alasan banyak jawabannya berteletele berbelitbelit dan itu menggunakan mesin boot sungguh sangat kecewa aplikasi seperti dana cs nya pakai mesin boot sangatsangat tidak bermodal untuk membayar cs manusia aplikasi dana semakin hari semakin mundur rusak,dana cicil sedang tersedia berlaku sebelumnya dana cicil lancarlancar aja padahal sekarang limit tagihan dibayar jauhjauh hari jatuh tempo sangat kecewa aplikasi dana kalau dichat banyak alasan banyak jawabannya berteletele berbelitbelit menggunakan mesin boot sungguh sangat kecewa aplikasi dana cs nya pakai mesin boot sangatsangat bermodal membayar cs manusia aplikasi dana semakin hari semakin mundur rusak,"['dana', 'cicil', 'sedang', 'tersedia', 'berlaku', 'sebelumnya', 'dana', 'cicil', 'lancarlancar', 'aja', 'padahal', 'sekarang', 'limit', 'tagihan', 'dibayar', 'jauhjauh', 'hari', 'jatuh', 'tempo', 'sangat', 'kecewa', 'aplikasi', 'dana', 'kalau', 'dichat', 'banyak', 'alasan', 'banyak', 'jawabannya', 'berteletele', 'berbelitbelit', 'menggunakan', 'mesin', 'boot', 'sungguh', 'sangat', 'kecewa', 'aplikasi', 'dana', 'cs', 'nya', 'pakai', 'mesin', 'boot', 'sangatsangat', 'bermodal', 'membayar', 'cs', 'manusia', 'aplikasi', 'dana', 'semakin', 'hari', 'semakin', 'mundur', 'rusak']",dana cicil sedang sedia laku belum dana cicil lancarlancar aja padahal sekarang limit tagih bayar jauhjauh hari jatuh tempo sangat kecewa aplikasi dana kalau dichat banyak alas banyak jawab berteletele berbelitbelit guna mesin boot sungguh sangat kecewa aplikasi dana cs nya pakai mesin boot sangatsangat modal bayar cs manusia aplikasi dana makin hari makin mundur rusak
Jeri Umg,"halo DANA , kenapa uang saya tidak masuk sampai sekarang? mana ini customer service ini?",1,7/7/2025 15:55,"halo dana , kenapa uang saya tidak masuk sampai sekarang? mana ini customer service ini?",halo dana kenapa uang saya tidak masuk sampai sekarang mana ini customer service ini,halo dana uang masuk sekarang mana customer service,"['halo', 'dana', 'uang', 'masuk', 'sekarang', 'mana', 'customer', 'service']",halo dana uang masuk sekarang mana customer service
Serba ada,update malah nge bug buat buka dana kaget 7-7-27,1,7/7/2025 15:49,update malah nge bug buat buka dana kaget 7-7-27,update malah nge bug buat buka dana kaget,update malah nge bug buat buka dana kaget,"['update', 'malah', 'nge', 'bug', 'buat', 'buka', 'dana', 'kaget']",update malah nge bug buat buka dana kaget
Agunx Piton,"saldo dana hilang 2jta500,g ada pertanggung jawaban stelah menunggu kabar dari IA Diana slama 2minggu..eh jawabanya malah di suruh lapor polisi..kan lucu",1,7/7/2025 15:48,"saldo dana hilang 2jta500,g ada pertanggung jawaban stelah menunggu kabar dari ia diana slama 2minggu..eh jawabanya malah di suruh lapor polisi..kan lucu",saldo dana hilang jtag ada pertanggung jawaban stelah menunggu kabar dari ia diana slama minggueh jawabanya malah di suruh lapor polisikan lucu,saldo dana hilang jtag pertanggung jawaban stelah menunggu kabar diana slama minggueh jawabanya malah suruh lapor polisikan lucu,"['saldo', 'dana', 'hilang', 'jtag', 'pertanggung', 'jawaban', 'stelah', 'menunggu', 'kabar', 'diana', 'slama', 'minggueh', 'jawabanya', 'malah', 'suruh', 'lapor', 'polisikan', 'lucu']",saldo dana hilang jtag tanggung jawab stelah tunggu kabar ana slama minggueh jawabanya malah suruh lapor polisi lucu
Ari Rusmana,Hati hati kalo menggunakan aplikasi dana soal nya saldo nya gampang hilang aplikasi nya masih mudah di retas lebih baik kalo nyimpen uang pake aplikasi bank aja,1,7/7/2025 15:45,hati hati kalo menggunakan aplikasi dana soal nya saldo nya gampang hilang aplikasi nya masih mudah di retas lebih baik kalo nyimpen uang pake aplikasi bank aja,hati hati kalo menggunakan aplikasi dana soal nya saldo nya gampang hilang aplikasi nya masih mudah di retas lebih baik kalo nyimpen uang pake aplikasi bank aja,hati hati kalo menggunakan aplikasi dana soal nya saldo nya gampang hilang aplikasi nya mudah retas lebih baik kalo nyimpen uang pake aplikasi bank aja,"['hati', 'hati', 'kalo', 'menggunakan', 'aplikasi', 'dana', 'soal', 'nya', 'saldo', 'nya', 'gampang', 'hilang', 'aplikasi', 'nya', 'mudah', 'retas', 'lebih', 'baik', 'kalo', 'nyimpen', 'uang', 'pake', 'aplikasi', 'bank', 'aja']",hati hati kalo guna aplikasi dana soal nya saldo nya gampang hilang aplikasi nya mudah retas lebih baik kalo nyimpen uang pake aplikasi bank aja
Jevi Rizky,kak kenapa akun saya tidak ada dana cicil padahal sudah premium dan sering transaksi,3,7/7/2025 15:43,kak kenapa akun saya tidak ada dana cicil padahal sudah premium dan sering transaksi,kak kenapa akun saya tidak ada dana cicil padahal sudah premium dan sering transaksi,kak akun dana cicil padahal premium sering transaksi,"['kak', 'akun', 'dana', 'cicil', 'padahal', 'premium', 'sering', 'transaksi']",kak akun dana cicil padahal premium sering transaksi
